Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
399,Vinay Kumar,SRI RENUKAJI (SC),INC,0,10th Pass,"Rs 8,57,39,414
~ 8 Crore+","Rs 1,03,35,872
~ 1 Crore+"
400,Vinod Dadwal (Pintu),GAGRET,Rashtriya Devbhumi Party,0,12th Pass,"Rs 10,44,500
~ 10 Lacs+","Rs 7,19,367
~ 7 Lacs+"
401,Vinod Kumar,NACHAN (SC),BJP,0,12th Pass,"Rs 2,14,09,897
~ 2 Crore+","Rs 27,44,431
~ 27 Lacs+"
402,Vinod Sultanpuri,KASAULI (SC),INC,0,Graduate,"Rs 5,61,65,545
~ 5 Crore+","Rs 32,00,773
~ 32 Lacs+"
403,Vipan Kumar Nehria,DHARAMSHALA,IND,0,Graduate,"Rs 3,32,90,321
~ 3 Crore+","Rs 74,89,660
~ 74 Lacs+"
404,Vipin Singh Parmar,SULLAH,BJP,0,Graduate Professional,"Rs 5,37,68,739
~ 5 Crore+","Rs 48,33,338
~ 48 Lacs+"
405,Virender Kanwar,KUTLEHAR,BJP,0,Graduate Professional,"Rs 3,69,04,883
~ 3 Crore+","Rs 7,00,000
~ 7 Lacs+"
406,Virender Kumar,CHINTPURNI (SC),BSP,0,Graduate,"Rs 11,65,240
~ 11 Lacs+","Rs 0
~"
407,Vishal Shankta,JUBBAL-KOTKHAI,CPI(M),0,Post Graduate,"Rs 5,66,65,000
~ 5 Crore+","Rs 1,22,00,000
~ 1 Crore+"
408,Vishesh,BAIJNATH (SC),Swabhiman Party,0,Post Graduate,"Rs 13,63,000
~ 13 Lacs+","Rs 0
~"
409,Vivek Kumar,JHANDUTA (SC),INC,3,Graduate Professional,"Rs 69,22,669
~ 69 Lacs+","Rs 15,47,972
~ 15 Lacs+"
410,Yadvinder Goma,JAISINGHPUR (SC),INC,0,Post Graduate,"Rs 2,57,40,000
~ 2 Crore+","Rs 65,00,000
~ 65 Lacs+"
411,Yashwant Singh,CHURAH (SC),INC,0,Post Graduate,"Rs 17,45,186
~ 17 Lacs+","Rs 42,984
~ 42 Thou+"
412,Yogesh Thakur,GHUMARWIN,Rashtriya Devbhumi Party,1,12th Pass,"Rs 2,02,00,100
~ 2 Crore+","Rs 0
~"
